X,Y,Mag
4883398.65,652747.96,55097.4779
4883398.67,652748.05,55097.5594
4883398.69,652748.16,55097.6833
4883398.71,652748.26,55097.8142
4883398.73,652748.36,55097.8598
4883398.76,652748.46,55097.786
4883398.77,652748.56,55097.7055
4883398.8,652748.67,55097.749
4883398.81,652748.78,55097.8844
4883398.84,652748.89,55097.9361
4883398.86,652749,55097.8593
4883398.89,652749.12,55097.8575
4883398.91,652749.24,55098.0387
4883398.95,652749.36,55098.1987
4883398.97,652749.48,55098.1725
4883399.01,652749.6,55098.0793
4883399.03,652749.72,55098.0727
4883399.06,652749.83,55098.1514
4883399.08,652749.95,55098.2236
4883399.11,652750.06,55098.1924
4883399.14,652750.18,55098.0619
4883399.17,652750.29,55097.9627
4883399.19,652750.4,55097.9824
4883399.22,652750.51,55098.0344
4883399.24,652750.61,55098.0058
4883399.27,652750.71,55097.9484
4883399.29,652750.82,55097.939
4883399.32,652750.92,55097.934
4883399.33,652751.02,55097.9074
4883399.34,652751.12,55097.8668
4883399.37,652751.22,55097.7921
4883399.37,652751.22,55097.6979
4883399.39,652751.42,55097.6057
4883399.41,652751.51,55097.5336
4883399.41,652751.61,55097.4977
4883399.42,652751.7,55097.4722
4883399.43,652751.79,55097.4718
4883399.44,652751.89,55097.5142
4883399.44,652751.98,55097.4992
4883399.45,652752.08,55097.3379
4883399.48,652752.17,55097.1126
4883399.49,652752.26,55097.0076
4883399.5,652752.35,55097.1075
4883399.52,652752.44,55097.3317
4883399.54,652752.53,55097.5801
4883399.56,652752.61,55097.795
4883399.57,652752.69,55097.9284
4883399.58,652752.77,55098.0171
4883399.61,652752.86,55098.2148
4883399.62,652752.95,55098.641
4883399.63,652753.04,55099.3114
4883399.66,652753.12,55100.2352
4883399.68,652753.2,55101.4153
4883399.69,652753.28,55102.8678
4883399.72,652753.37,55104.6123
4883399.74,652753.46,55106.5574
4883399.75,652753.54,55108.6539
4883399.77,652753.63,55110.9738
4883399.79,652753.71,55113.5299
4883399.81,652753.8,55116.3426
4883399.81,652753.89,55119.5023
4883399.82,652753.98,55122.7845
4883399.83,652754.07,55125.3668
4883399.85,652754.16,55126.3763
4883399.86,652754.25,55125.5975
4883399.87,652754.34,55123.5233
4883399.89,652754.43,55121.0392
4883399.9,652754.51,55118.7291
4883399.92,652754.61,55116.2908
4883399.94,652754.7,55113.3709
4883399.96,652754.79,55110.4467
4883399.97,652754.89,55107.9684
4883400,652754.97,55105.8062
4883400.02,652755.07,55103.9073
4883400.05,652755.17,55102.359
4883400.07,652755.26,55101.1016
4883400.1,652755.35,55100.1059
4883400.12,652755.44,55099.4444
4883400.15,652755.54,55099.0433
4883400.16,652755.64,55098.6818
4883400.19,652755.73,55098.3172
4883400.22,652755.82,55098.0385
